date | value
123s-2a-22 | 23
| 2023-02-15 | 32 |
2023-02-15 | 32 |
2023-02-15 | 3a2
2023-02-15 | -2
2023-02-15 | +2
2023-13-30 | 2
           | 2
2023 | 2
2023-12 | 2
2023-12-42 | 2
2023-12-23 | 
2023-03-32 | 20
20230330 | 20
2023-03-20 | 1001
2008-01-02 | 20
2009-01-01 | 20
2009-01-02 | 20
2023-01-02 29
2023+01-02 | 29
2023-01+02 | 29
2023+02+02 | 29
2023- | 29
-2023-09-09 | 29
2093-12-09-09 | 29
2023-09- | 23
0000-09-09 | 29
0203-09-09- | 20
20a3-09-09 | 09
2023-13-20 | 10
2023-12-32 | 10
2023-00-00 | 10
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | 1.
2011-01-03 | .9
2024-01-03 | 1.2
