date | value
2012-01-11 | 1
2012-01-11 | 2147483647
2012-01-11 | -1
2012-01-11 | 0
2012-01-11 | 1000
2012-01-11 | 1000.1
2012-01-11 | 1000.0
2012-01-11 | 0.0
2012-01-11 | .5
2012-01-11 | 5.
2012-01-11 | 1.2.3
2012-01-11 | value
2012-01-11 | 
2012-01-11 
2012-01-11 | 10 | 20
2012-01-11|10
    2012-01-11    |    10    
2012-01-11	|	10
2008-01-01 | 10
2012-02-29 | 10
2013-02-29 | 10
1900-02-29 | 10
2012-04-31 | 10
2012-13-01 | 10
2012-00-01 | 10
2012-01-00 | 10
0000-01-01 | 10
202-01-01 | 10
2012-1-01 | 10
2012-01-1 | 10
2012a-01-01 | 10
0-01-01 | 10



